2023/02/16 18:07:23.448 [I] [controller.go:218]  [{2023-02-13 16:53:00 +0800 CST map[description:description rule_id:1 summary:summary] 2023-02-13 16:53:00 +0800 CST map[app:goods-storage-project] 2023-02-13 16:54:00 +0800 CST 2023-02-13 16:54:00 +0800 CST 2 2023-02-15 23:00:00 +0800 CST 1}]

2023/02/16 18:07:27.145 [I] [controller.go:218]  [{2023-02-13 16:53:00 +0800 CST map[description:description rule_id:1 summary:summary] 2023-02-13 16:53:00 +0800 CST map[app:miyuan-goods-center-turn-project] 2023-02-13 16:54:00 +0800 CST 2023-02-13 16:54:00 +0800 CST 2 2023-02-15 23:00:00 +0800 CST 1}]

2023/02/16 18:19:28.635 [I] [controller.go:218]  [{2023-02-13 16:53:00 +0800 CST map[description:description rule_id:1 summary:summary] 2023-02-13 16:53:00 +0800 CST map[app:miyuan-goods-center-turn-project] 2023-02-13 16:54:00 +0800 CST 2023-02-13 16:54:00 +0800 CST 2 2023-02-15 23:00:00 +0800 CST 1}]

2023/02/16 18:19:31.311 [I] [controller.go:218]  [{2023-02-13 16:53:00 +0800 CST map[description:description rule_id:1 summary:summary] 2023-02-13 16:53:00 +0800 CST map[app:goods-storage-project] 2023-02-13 16:54:00 +0800 CST 2023-02-13 16:54:00 +0800 CST 2 2023-02-15 23:00:00 +0800 CST 1}]

2023/02/16 18:22:07.321 [I] [controller.go:218]  [{2023-02-13 16:53:00 +0800 CST map[description:description rule_id:1 summary:summary] 2023-02-13 16:53:00 +0800 CST map[app:goods-storage-project] 2023-02-13 16:54:00 +0800 CST 2023-02-13 16:54:00 +0800 CST 2 2023-02-15 23:00:00 +0800 CST 1}]

2023/02/16 18:22:09.155 [I] [controller.go:218]  [{2023-02-13 16:53:00 +0800 CST map[description:description rule_id:1 summary:summary] 2023-02-13 16:53:00 +0800 CST map[app:miyuan-goods-center-turn-project] 2023-02-13 16:54:00 +0800 CST 2023-02-13 16:54:00 +0800 CST 2 2023-02-15 23:00:00 +0800 CST 1}]

